**************************************************************************************************************
*****                             MOLLER MEASUREMENT DATA SUMMARY                                        *****
**************************************************************************************************************
* MN     - measurement number
* TG     - target number
* runNN  - run number
* TP     run type 1-measurement in point, 2-transverse scan, 3-longitudinal scan
* p-bg   - substracted accidental background
* p+bg   - no substraction of accidental background
* err    - statistical error +/-
* av-bg  - averaged polarization for substracted bg
* av+bg  - averaged polarization without bg substraction
* err    - statistical error
* hi2    - hi2/ndf
* Xenc   - transverce foil coordinate (by encoder) range:RightLimit=0.65 LeftLimit=3.81
* Yenc   - longitudinal foil coordinate (by encoder) 
*          Y range: top=0.4 center=1.40 bottom=2.56  top-bottom=55mm
* BOP    - BOP current (1/2 of a real current), Amp
* T.Pol  - target polarization
* date   - date of measurement
*** Target number       1(old)       2       3       4       5       6
*** Target material     S-Mend     S-Mend    Fe      Fe     S-Mend   Al
*** Target thickness    13.4        29.4     14.3    9.3      6.8
******************************************************************************************
*MN TG runNN TP p-bg    p+bg   err  av-bg    av+bg    err  hi2   Xenc  Yenc BOP T.Pol date 
******************************************************************************************
*******************************          YEAR 2005          ******************************
*** Beam current = 0.36 uAmp Fast raster is OFF
*** Runs 11745 - 11756  --  New target test run                                     06.16
******************************************************************************************
005 3 11984 2  82.29   82.71  0.36  -81.90  -82.19  0.17  1.0  2.310  1.387 8.0 7.64 09.10
*** Target 3 at center
005 3 11985 2 -82.83  -82.87  0.42    0       0      0     0   2.310  1.387 4.0 6.92 09.10
005 3 11986 2  83.18   88.95  0.40    0       0      0     0   2.310  1.387 4.0 6.90 09.10
005 3 11987 2 -82.97  -83.20  0.40    0       0      0     0   2.310  1.387 4.0 6.93 09.10
005 3 11988 2  83.17   84.27  0.45  -83.12  -83.73  0.20  0.9  2.310  1.387 4.0 6.92 09.10
*** Target 4 at center
005 4 11989 1 -83.10  -83.40  0.42    0       0      0     0   1.683  1.387 8.0 7.43 09.10
005 4 11990 1  82.57   82.92  0.40    0       0      0     0   1.683  1.387 8.0 7.42 09.10
005 4 11991 1 -82.98  -83.16  0.42    0       0      0     0   1.683  1.387 8.0 7.42 09.10
005 4 11992 1  83.40   83.81  0.42  -83.01  -83.30  0.21  0.7  1.683  1.387 8.0 7.42 09.10
*** Target 4 at center
005 4 11993 2 -83.47  -83.59  0.45    0       0      0     0   1.683  1.387 8.0 7.42 09.10
005 4 11994 2  83.32   83.70  0.44  -83.27  -83.30  0.32  0.8  1.683  1.387 8.0 7.42 09.10
*** Target 4 at center  Fast raster is OFF
005 4 11995 2 -87.41  -86.50  1.06    0       0      0     0   1.683  1.387 8.0 7.42 09.10
005 4 11996 2  83.19   83.68  0.47  -83.76  -83.88  0.41  0.8  1.683  1.387 8.0 7.42 09.10
*** Target 4 at center Reduce speed of scan (10)
005 4 11997 2 -83.55  -83.53  0.42    0       0      0     0   1.683  1.387 8.0 7.42 09.10
005 4 11998 2  84.67   84.32  0.45   -83.75  -83.91  0.30  0.9 1.683  1.387 8.0 7.42 09.10
*** Target 4 at center 
005 4 11999 2 -84.19  -84.71  0.52    0       0      0     0   1.683  1.387 4.0 6.81 09.10
005 4 12000 2  84.05   83.61  0.44  -84.09  -84.25  0.33  0.9  1.683  1.387 4.0 6.81 09.10
*** Target 4 at center ***
005 4 12001 3 -83.85  -84.49  0.33    0       0      0     0   1.683  1.387 4.0 0.0  09.10
005 4 12002 3 -83.47  -83.72  0.23  -83.58  -83.81  0.19  1.4  1.683  1.387 4.0 0.0  09.10
*** Target 4 shifted for -10mm
005 4 12003 2 -82.69  -83.08  0.49    0       0      0     0   1.683  1.020 4.0 6.85 09.10
